repository,url,type,description,validation,detectionTools,validators
https://github.com/JetBrains/intellij-community.git,https://github.com/JetBrains/intellij-community/commit/7a4dab88185553bd09e827839fdf52e870ef7088,Extract Method,Extract Method private getDocumentationText(sourceEditorText String) : String extracted from public testImagesInsideJavadocJar() : void in class com.intellij.codeInsight.JavaExternalDocumentationTest,TP,"RefactoringMiner, RefDiff, RD-1x, RD-2x, RMiner-1x",
https://github.com/VoltDB/voltdb.git,https://github.com/VoltDB/voltdb/commit/669e0722324965e3c99f29685517ac24d4ff2848,Extract Method,Extract Method private runPausedMode(isAdmin boolean) : void extracted from public testPausedMode() : void in class org.voltdb.TestClientInterface,TP,"RefactoringMiner, RefDiff, RD-1x, RD-2x, RMiner-1x",
https://github.com/graphhopper/graphhopper.git,https://github.com/graphhopper/graphhopper/commit/7f80425b6a0af9bdfef12c8a873676e39e0a04a6,Extract Method,Extract Method protected getGraph(ghStorage GraphHopperStorage) : Graph extracted from public testTwoWeightsPerEdge2() : void in class com.graphhopper.routing.AbstractRoutingAlgorithmTester,TP,RefDiff,Matin
https://github.com/graphhopper/graphhopper.git,https://github.com/graphhopper/graphhopper/commit/7f80425b6a0af9bdfef12c8a873676e39e0a04a6,Extract Method,Extract Method protected getGraph(ghStorage GraphHopperStorage) : Graph extracted from public testWithCoordinates() : void in class com.graphhopper.routing.AbstractRoutingAlgorithmTester,TP,RefDiff,Laleh
https://github.com/bennidi/mbassador.git,https://github.com/bennidi/mbassador/commit/40e41d11d7847d660bba6691859b0506514bd0ac,Extract Method,Extract Method public SyncAsync() : IBusConfiguration extracted from public testHandleMethodAccessEL() : void in class net.engio.mbassy.ConditionalHandlerTest,CTP,RefDiff,"Matin, Laleh, Ameya"
https://github.com/bennidi/mbassador.git,https://github.com/bennidi/mbassador/commit/40e41d11d7847d660bba6691859b0506514bd0ac,Extract Method,Extract Method public SyncAsync() : IBusConfiguration extracted from public testSimpleStringCondition() : void in class net.engio.mbassy.ConditionalHandlerTest,CTP,RefDiff,"Matin, Laleh"
https://github.com/bennidi/mbassador.git,https://github.com/bennidi/mbassador/commit/40e41d11d7847d660bba6691859b0506514bd0ac,Extract Method,Extract Method public SyncAsync() : IBusConfiguration extracted from public testNotMatchingAnyCondition() : void in class net.engio.mbassy.ConditionalHandlerTest,CTP,RefDiff,"Matin, Laleh"
https://github.com/bennidi/mbassador.git,https://github.com/bennidi/mbassador/commit/40e41d11d7847d660bba6691859b0506514bd0ac,Extract Method,Extract Method public SyncAsync() : IBusConfiguration extracted from public testHandleCombinedEL() : void in class net.engio.mbassy.ConditionalHandlerTest,CTP,RefDiff,"Matin, Laleh"
https://github.com/bennidi/mbassador.git,https://github.com/bennidi/mbassador/commit/40e41d11d7847d660bba6691859b0506514bd0ac,Extract Method,Extract Method public SyncAsync() : IBusConfiguration extracted from public testSimpleNumberCondition() : void in class net.engio.mbassy.ConditionalHandlerTest,CTP,RefDiff,"Matin, Laleh"
https://github.com/mongodb/morphia.git,https://github.com/mongodb/morphia/commit/70a25d4afdc435e9cad4460b2a20b7aabdd21e35,Extract Method,Extract Method private performBasicMappingTest() : void extracted from public testBasicMapping() : void in class org.mongodb.morphia.TestMapping,TP,"RefactoringMiner, RefDiff, RD-1x, RD-2x, RMiner-1x",
https://github.com/mongodb/morphia.git,https://github.com/mongodb/morphia/commit/5db323b99f7064af8780f2c35f245461cf55cc8e,Extract Method,Extract Method private performBasicMappingTest() : void extracted from public testBasicMapping() : void in class org.mongodb.morphia.TestMapping,TP,"RefactoringMiner, RefDiff, RD-1x, RD-2x, RMiner-1x",
https://github.com/facebook/buck.git,https://github.com/facebook/buck/commit/d49765899cb9df6781fff9773ffc244b5167351c,Extract Method,"Extract Method private getTestPathPredicate(enableStringWhitelisting boolean, whitelistedStringDirs ImmutableSet<Path>, locales ImmutableSet<String>) : Predicate<Path> extracted from public testFilterLocales() : void in class com.facebook.buck.android.FilterResourcesStepTest",TP,"RefactoringMiner, RMiner-1x",
https://github.com/facebook/buck.git,https://github.com/facebook/buck/commit/d49765899cb9df6781fff9773ffc244b5167351c,Extract Method,"Extract Method private getTestPathPredicate(enableStringWhitelisting boolean, whitelistedStringDirs ImmutableSet<Path>, locales ImmutableSet<String>) : Predicate<Path> extracted from public testFilterStrings() : void in class com.facebook.buck.android.FilterResourcesStepTest",TP,"RefactoringMiner, RMiner-1x",
https://github.com/facebook/buck.git,https://github.com/facebook/buck/commit/d49765899cb9df6781fff9773ffc244b5167351c,Extract Method,Extract Method private assertNotMatchesRegex(path String) : void extracted from public testNonEnglishStringsPathRegex() : void in class com.facebook.buck.android.FilterResourcesStepTest,FP,RMiner-1x,Nikos
https://github.com/droolsjbpm/jbpm.git,https://github.com/droolsjbpm/jbpm/commit/83cfa21578e63956bca0715eefee2860c3b6d39a,Extract Method,Extract Method private prepareWorkItemWithTaskVariables(taskDescriptionParam String) : WorkItemImpl extracted from public testTaskWithVariables() : void in class org.jbpm.services.task.wih.HTWorkItemHandlerBaseTest,TP,"RefactoringMiner, RefDiff, RD-1x, RD-2x, RMiner-1x",
https://github.com/droolsjbpm/jbpm.git,https://github.com/droolsjbpm/jbpm/commit/83cfa21578e63956bca0715eefee2860c3b6d39a,Extract Method,"Extract Method private testTaskWithExpectedDescription(task Task, expectedDescription String) : void extracted from public testTaskWithVariables() : void in class org.jbpm.services.task.wih.HTWorkItemHandlerBaseTest",TP,"RefactoringMiner, RefDiff, RD-1x, RD-2x, RMiner-1x",
https://github.com/droolsjbpm/jbpm.git,https://github.com/droolsjbpm/jbpm/commit/a739d16d301f0e89ab0b9dfa56b4585bbad6b793,Extract Method,Extract Method private createUser(id String) : User extracted from public testActivateFromIncorrectStatus() : void in class org.jbpm.services.task.LifeCycleBaseTest,TP,"RefactoringMiner, RefDiff, RD-1x, RD-2x, RMiner-1x",
https://github.com/droolsjbpm/jbpm.git,https://github.com/droolsjbpm/jbpm/commit/a739d16d301f0e89ab0b9dfa56b4585bbad6b793,Extract Method,Extract Method private createUser(id String) : User extracted from public testNominateToUser() : void in class org.jbpm.services.task.LifeCycleBaseTest,TP,"RefactoringMiner, RefDiff, RD-1x, RD-2x, RMiner-1x",
https://github.com/droolsjbpm/jbpm.git,https://github.com/droolsjbpm/jbpm/commit/a739d16d301f0e89ab0b9dfa56b4585bbad6b793,Extract Method,Extract Method private createUser(id String) : User extracted from public testCompleteWithComments() : void in class org.jbpm.services.task.LifeCycleBaseTest,TP,"RefactoringMiner, RefDiff, RD-1x, RD-2x, RMiner-1x",
https://github.com/droolsjbpm/jbpm.git,https://github.com/droolsjbpm/jbpm/commit/a739d16d301f0e89ab0b9dfa56b4585bbad6b793,Extract Method,Extract Method private createUser(id String) : User extracted from public testForwardFromReserved() : void in class org.jbpm.services.task.LifeCycleBaseTest,TP,"RefactoringMiner, RefDiff, RD-1x, RD-2x, RMiner-1x","Matin, Laleh"
https://github.com/droolsjbpm/jbpm.git,https://github.com/droolsjbpm/jbpm/commit/a739d16d301f0e89ab0b9dfa56b4585bbad6b793,Extract Method,Extract Method private createUser(id String) : User extracted from public testDelegateFromReserved() : void in class org.jbpm.services.task.LifeCycleBaseTest,TP,"RefactoringMiner, RefDiff, RD-1x, RD-2x, RMiner-1x","Matin, Laleh"
https://github.com/droolsjbpm/jbpm.git,https://github.com/droolsjbpm/jbpm/commit/a739d16d301f0e89ab0b9dfa56b4585bbad6b793,Extract Method,Extract Method private createUser(id String) : User extracted from public testNominateOnOtherThanCreated() : void in class org.jbpm.services.task.LifeCycleBaseTest,TP,"RefactoringMiner, RefDiff, RD-1x, RD-2x, RMiner-1x","Matin, Laleh"
https://github.com/droolsjbpm/jbpm.git,https://github.com/droolsjbpm/jbpm/commit/a739d16d301f0e89ab0b9dfa56b4585bbad6b793,Extract Method,Extract Method private createUser(id String) : User extracted from public testForwardFromReservedWithIncorrectUser() : void in class org.jbpm.services.task.LifeCycleBaseTest,TP,"RefactoringMiner, RefDiff, RD-1x, RD-2x, RMiner-1x","Matin, Laleh"
https://github.com/droolsjbpm/jbpm.git,https://github.com/droolsjbpm/jbpm/commit/a739d16d301f0e89ab0b9dfa56b4585bbad6b793,Extract Method,Extract Method private createUser(id String) : User extracted from public testRemoveNotInRecipientList() : void in class org.jbpm.services.task.LifeCycleBaseTest,TP,"RefactoringMiner, RefDiff, RD-1x, RD-2x, RMiner-1x","Matin, Laleh"
https://github.com/droolsjbpm/jbpm.git,https://github.com/droolsjbpm/jbpm/commit/a739d16d301f0e89ab0b9dfa56b4585bbad6b793,Extract Method,Extract Method private createUser(id String) : User extracted from public testNominateWithIncorrectUser() : void in class org.jbpm.services.task.LifeCycleBaseTest,TP,"RefactoringMiner, RefDiff, RD-1x, RD-2x, RMiner-1x",Matin
https://github.com/droolsjbpm/jbpm.git,https://github.com/droolsjbpm/jbpm/commit/a739d16d301f0e89ab0b9dfa56b4585bbad6b793,Extract Method,Extract Method private createUser(id String) : User extracted from public testDelegateFromReady() : void in class org.jbpm.services.task.LifeCycleBaseTest,TP,"RefactoringMiner, RefDiff, RD-1x, RD-2x, RMiner-1x","Matin, Laleh"
https://github.com/droolsjbpm/jbpm.git,https://github.com/droolsjbpm/jbpm/commit/a739d16d301f0e89ab0b9dfa56b4585bbad6b793,Extract Method,Extract Method private createUser(id String) : User extracted from public testDelegateFromReservedWithIncorrectUser() : void in class org.jbpm.services.task.LifeCycleBaseTest,TP,"RefactoringMiner, RefDiff, RD-1x, RD-2x, RMiner-1x","Matin, Laleh"
https://github.com/deeplearning4j/deeplearning4j.git,https://github.com/deeplearning4j/deeplearning4j/commit/91cdfa1ffd937a4cb01cdc0052874ef7831955e2,Extract Method,"Extract Method private getIrisLogisticLayerConfig(activationFunction String, iterations int) : OutputLayer extracted from public testLineSearch() : void in class org.deeplearning4j.optimize.solver.BackTrackLineSearchTest",TP,"RefactoringMiner, RefDiff, RD-1x, RD-2x, RMiner-1x",
https://github.com/google/auto.git,https://github.com/google/auto/commit/8967e7c33c59e1336e1e3b4671293ced5697fca6,Extract Method,Extract Method private doTestMissingClass(tempDir File) : void extracted from public testMissingClass() : void in class com.google.auto.value.processor.AutoAnnotationCompilationTest,TP,"RefactoringMiner, RefDiff, RD-1x, RD-2x, RMiner-1x",
https://github.com/infinispan/infinispan.git,https://github.com/infinispan/infinispan/commit/8f446b6ddf540e1b1fefca34dd10f45ba7256095,Extract Method,Extract Method private buildKernelServices(xml String) : KernelServices extracted from public testParseAndMarshalModel() : void in class org.infinispan.server.jgroups.subsystem.SubsystemParsingTestCase,CTP,RD-2x,Ameya
https://github.com/deeplearning4j/deeplearning4j.git,https://github.com/deeplearning4j/deeplearning4j/commit/c50064efb325b0c94cc62788b4c8935b7c39ac40,Extract Method,"Extract Method private getOptimizer(oa OptimizationAlgorithm, conf NeuralNetConfiguration, m Model) : ConvexOptimizer extracted from public testSphereFnOptHelper(oa OptimizationAlgorithm, numLineSearchIter int, nDimensions int) : void in class org.deeplearning4j.optimize.solver.TestOptimizers",TP,"RefactoringMiner, RefDiff, RD-1x, RD-2x, RMiner-1x",
https://github.com/cgeo/cgeo.git,https://github.com/cgeo/cgeo/commit/c142b8ca3e9f9467931987ee16805cf53e6bc5d2,Extract Method,Extract Method private getWaymarkingConnector() : IConnector extracted from public testCanHandle() : void in class cgeo.geocaching.connector.WaymarkingConnectorTest,TP,"RefactoringMiner, RefDiff, RD-1x, RD-2x, RMiner-1x",
https://github.com/cgeo/cgeo.git,https://github.com/cgeo/cgeo/commit/c142b8ca3e9f9467931987ee16805cf53e6bc5d2,Extract Method,Extract Method private getWaymarkingConnector() : IConnector extracted from public testGetGeocodeFromUrl() : void in class cgeo.geocaching.connector.WaymarkingConnectorTest,TP,"RefactoringMiner, RefDiff, RD-1x, RD-2x, RMiner-1x",
https://github.com/jersey/jersey.git,https://github.com/jersey/jersey/commit/d57b1401f874f96a53f1ec1c0f8a6089ae66a4ce,Extract Method,Extract Method public _testParamValidatedResourceNoParam(target WebTarget) : void extracted from public testParamValidatedResourceNoParam() : void in class org.glassfish.jersey.tests.cdi.bv.BaseValidationTest,TP,"RefactoringMiner, RefDiff, RD-1x, RD-2x, RMiner-1x",
https://github.com/jersey/jersey.git,https://github.com/jersey/jersey/commit/d57b1401f874f96a53f1ec1c0f8a6089ae66a4ce,Extract Method,Extract Method public _testParamValidatedResourceParamProvided(target WebTarget) : void extracted from public testParamValidatedResourceParamProvided() : void in class org.glassfish.jersey.tests.cdi.bv.BaseValidationTest,TP,"RefactoringMiner, RefDiff, RD-1x, RD-2x, RMiner-1x",
https://github.com/jersey/jersey.git,https://github.com/jersey/jersey/commit/d57b1401f874f96a53f1ec1c0f8a6089ae66a4ce,Extract Method,Extract Method public _testPropertyValidatedResourceParamProvided(target WebTarget) : void extracted from public testPropertyValidatedResourceParamProvided() : void in class org.glassfish.jersey.tests.cdi.bv.BaseValidationTest,TP,"RefactoringMiner, RefDiff, RD-1x, RD-2x, RMiner-1x",
https://github.com/jersey/jersey.git,https://github.com/jersey/jersey/commit/d57b1401f874f96a53f1ec1c0f8a6089ae66a4ce,Extract Method,Extract Method public _testOldFashionedResourceNoParam(target WebTarget) : void extracted from public testOldFashionedResourceNoParam() : void in class org.glassfish.jersey.tests.cdi.bv.BaseValidationTest,TP,"RefactoringMiner, RefDiff, RD-1x, RD-2x, RMiner-1x",
https://github.com/jersey/jersey.git,https://github.com/jersey/jersey/commit/d57b1401f874f96a53f1ec1c0f8a6089ae66a4ce,Extract Method,Extract Method public _testPropertyValidatedResourceNoParam(target WebTarget) : void extracted from public testPropertyValidatedResourceNoParam() : void in class org.glassfish.jersey.tests.cdi.bv.BaseValidationTest,TP,"RefactoringMiner, RefDiff, RD-1x, RD-2x, RMiner-1x",
https://github.com/jersey/jersey.git,https://github.com/jersey/jersey/commit/d57b1401f874f96a53f1ec1c0f8a6089ae66a4ce,Extract Method,Extract Method public _testFieldValidatedResourceNoParam(target WebTarget) : void extracted from public testFieldValidatedResourceNoParam() : void in class org.glassfish.jersey.tests.cdi.bv.BaseValidationTest,TP,"RefactoringMiner, RefDiff, RD-1x, RD-2x, RMiner-1x",
https://github.com/jersey/jersey.git,https://github.com/jersey/jersey/commit/d57b1401f874f96a53f1ec1c0f8a6089ae66a4ce,Extract Method,Extract Method public _testOldFashionedResourceParamProvided(target WebTarget) : void extracted from public testOldFashionedResourceParamProvided() : void in class org.glassfish.jersey.tests.cdi.bv.BaseValidationTest,TP,"RefactoringMiner, RefDiff, RD-1x, RD-2x, RMiner-1x",
https://github.com/jersey/jersey.git,https://github.com/jersey/jersey/commit/d57b1401f874f96a53f1ec1c0f8a6089ae66a4ce,Extract Method,Extract Method public _testFieldValidatedResourceParamProvided(target WebTarget) : void extracted from public testFieldValidatedResourceParamProvided() : void in class org.glassfish.jersey.tests.cdi.bv.BaseValidationTest,TP,"RefactoringMiner, RefDiff, RD-1x, RD-2x, RMiner-1x",
https://github.com/VoltDB/voltdb.git,https://github.com/VoltDB/voltdb/commit/c1359c843bd03a694f846c8140e24ed646bbb913,Extract Method,"Extract Method private createSchema(config VoltDB.Configuration, ddl String, sitesPerHost int, hostCount int, replication int) : void extracted from public testBasicCreateIndex() : void in class org.voltdb.TestAdhocCreateDropIndex",TP,"RefactoringMiner, RD-2x, RMiner-1x",
https://github.com/VoltDB/voltdb.git,https://github.com/VoltDB/voltdb/commit/c1359c843bd03a694f846c8140e24ed646bbb913,Extract Method,"Extract Method private createSchema(config VoltDB.Configuration, ddl String, sitesPerHost int, hostCount int, replication int) : void extracted from public testCreateDropIndexonView() : void in class org.voltdb.TestAdhocCreateDropIndex",TP,"RefactoringMiner, RD-2x, RMiner-1x",
https://github.com/apache/giraph.git,https://github.com/apache/giraph/commit/03ade425dd5a65d3a713d5e7d85aa7605956fbd2,Extract Method,"Extract Method private getPartition(partitionStore PartitionStore<IntWritable,IntWritable,NullWritable>, partitionId int) : Partition<IntWritable,IntWritable,NullWritable> extracted from public testReadWrite(partitionStore PartitionStore<IntWritable,IntWritable,NullWritable>, conf ImmutableClassesGiraphConfiguration<IntWritable,IntWritable,NullWritable>) : void in class org.apache.giraph.partition.TestPartitionStores",FP,RefDiff,"Matin, Laleh, Davood"
https://github.com/eclipse/jetty.project.git,https://github.com/eclipse/jetty.project/commit/837d1a74bb7d694220644a2539c4440ce55462cf,Extract Method,"Extract Method private testTransparentProxyWithQuery(proxyToContext String, prefix String, target String) : void extracted from public testTransparentProxyWithQuery() : void in class org.eclipse.jetty.proxy.ProxyServletTest",TP,"RefactoringMiner, RefDiff, RD-1x, RD-2x, RMiner-1x",
https://github.com/linkedin/rest.li.git,https://github.com/linkedin/rest.li/commit/54fa890a6af4ccf564fb481d3e1b6ad4d084de9e,Extract Method,"Extract Method public addCompressionHeaders(getMessage HttpGet, acceptEncoding String) : void extracted from public testCompressionBetter(compressor Compressor) : void in class com.linkedin.restli.examples.TestCompressionServer",TP,"RefactoringMiner, RefDiff, RMiner-1x",
https://github.com/linkedin/rest.li.git,https://github.com/linkedin/rest.li/commit/54fa890a6af4ccf564fb481d3e1b6ad4d084de9e,Extract Method,"Extract Method public addCompressionHeaders(getMessage HttpGet, acceptEncoding String) : void extracted from public testAcceptEncoding(acceptedEncoding String, contentEncoding String) : void in class com.linkedin.restli.examples.TestCompressionServer",TP,"RefactoringMiner, RefDiff, RMiner-1x",
https://github.com/linkedin/rest.li.git,https://github.com/linkedin/rest.li/commit/54fa890a6af4ccf564fb481d3e1b6ad4d084de9e,Extract Method,"Extract Method public addCompressionHeaders(getMessage HttpGet, acceptEncoding String) : void extracted from public testCompressionWorse(compressor Compressor) : void in class com.linkedin.restli.examples.TestCompressionServer",TP,"RefactoringMiner, RefDiff, RMiner-1x",
https://github.com/linkedin/rest.li.git,https://github.com/linkedin/rest.li/commit/54fa890a6af4ccf564fb481d3e1b6ad4d084de9e,Extract Method,"Extract Method public addCompressionHeaders(getMessage HttpGet, acceptEncoding String) : void extracted from public testCompatibleDefault(acceptEncoding String, contentEncoding String) : void in class com.linkedin.restli.examples.TestCompressionServer",TP,"RefactoringMiner, RefDiff, RMiner-1x",
https://github.com/linkedin/rest.li.git,https://github.com/linkedin/rest.li/commit/54fa890a6af4ccf564fb481d3e1b6ad4d084de9e,Extract Method,"Extract Method public addCompressionHeaders(getMessage HttpGet, acceptEncoding String) : void extracted from public test406Error(acceptContent String) : void in class com.linkedin.restli.examples.TestCompressionServer",TP,"RefactoringMiner, RefDiff, RMiner-1x",
https://github.com/apache/cassandra.git,https://github.com/apache/cassandra/commit/1a2c1bcdc7267abec9b19d77726aedbb045d79a8,Extract Method,"Extract Method public minorWasTriggered(keyspace String, cf String) : boolean extracted from public testTriggerMinorCompaction() : void in class org.apache.cassandra.db.compaction.CompactionsCQLTest",TP,"RefactoringMiner, RMiner-1x",
https://github.com/apache/cassandra.git,https://github.com/apache/cassandra/commit/1a2c1bcdc7267abec9b19d77726aedbb045d79a8,Extract Method,Extract Method private getCurrentColumnFamilyStore() : ColumnFamilyStore extracted from public testTriggerMinorCompaction() : void in class org.apache.cassandra.db.compaction.CompactionsCQLTest,TP,RefactoringMiner,
